Folder Name,Song Name,Artist,Album,Year,Charter,Diff Band,Diff Guitar,Diff Bass,Diff Drums,Diff Keys,Diff Vocals,Diff Pro Guitar,Diff Pro Bass,Diff Pro Keys,Diff Pro Drums,Diff Vocal Harmonies,Has Pro Guitar,Has Pro Keys,Has Pro Drums,Has Vocal Harmonies,Audio Tracks,Guitar Tuning,Bass Tuning,S.SterrGtuning,S.SterrBtuning,S.SterrStatus
Billy Joel - Miami 2017 (See the Lights Go Out on Broadway),Miami 2017 (See the Lights Go Out on Broadway),Billy Joel,Turnstiles,1976,Harmonix,2,1,1,3,4,2,-1,-1,4,3,-1,FALSE,TRUE,TRUE,FALSE,"drums.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Billy Joel - Movin' Out (Anthony's Song),Movin' Out (Anthony's Song),Billy Joel,The Stranger,1977,Harmonix,1,2,2,1,3,4,2,1,3,1,4,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-2 0 0 0 0 0,-2 0 0 0,matched
Billy Joel - My Life,My Life,Billy Joel,52nd Street,1978,Harmonix,2,2,3,3,3,3,-1,-1,3,3,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Billy Joel - Only the Good Die Young,Only the Good Die Young,Billy Joel,The Stranger,1977,Harmonix,2,3,3,3,4,4,1,3,4,3,4,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Billy Joel - Piano Man,Piano Man,Billy Joel,Piano Man,1973,Harmonix,3,5,2,4,4,4,-1,-1,4,4,-1,FALSE,TRUE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Billy Joel - Prelude-Angry Young Man,Prelude/Angry Young Man,Billy Joel,Turnstiles,1976,Harmonix,5,3,3,5,6,3,2,2,6,5,3,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Billy Joel - Pressure,Pressure,Billy Joel,The Nylon Curtain,1982,Harmonix,1,2,2,3,5,2,-1,-1,5,3,-1,FALSE,TRUE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,-2 0 0 0,matched
Billy Joel - Say GoodBye to HollyWood,Say Goodbye to Hollywood,Billy Joel,Turnstiles,1976,Harmonix,1,2,1,1,3,3,-1,-1,3,1,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Billy Joel - Scenes from an Italian Restaurant,Scenes from an Italian Restaurant,Billy Joel,The Stranger,1977,Harmonix,5,4,4,4,6,3,-1,-1,6,4,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Billy Joel - She's Always a Woman,She's Always a Woman,Billy Joel,The Stranger,1977,Harmonix,4,5,0,-1,5,3,-1,-1,6,-1,3,FALSE,TRUE,FALSE,TRUE,"guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Billy Joel - The Entertainer,The Entertainer,Billy Joel,Streetlife Serenade,1974,Harmonix,5,5,3,4,6,3,-1,-1,6,4,-1,FALSE,TRUE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Billy Joel - The Stranger,The Stranger,Billy Joel,The Stranger,1977,Harmonix,4,4,3,4,4,3,-1,-1,5,4,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
