Folder Name,Song Name,Artist,Album,Year,Charter,Diff Band,Diff Guitar,Diff Bass,Diff Drums,Diff Keys,Diff Vocals,Diff Pro Guitar,Diff Pro Bass,Diff Pro Keys,Diff Pro Drums,Diff Vocal Harmonies,Has Pro Guitar,Has Pro Keys,Has Pro Drums,Has Vocal Harmonies,Audio Tracks,Guitar Tuning,Bass Tuning,S.SterrGtuning,S.SterrBtuning,S.SterrStatus
Dierks Bentley - Sideways,Sideways,Dierks Bentley,Feel that Fire,2009,Harmonix,2,3,2,2,-1,3,-1,-1,-1,2,3,FALSE,FALSE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Dierks Bentley - Sideways (RB3 version),Sideways (RB3 version),Dierks Bentley,Feel that Fire,2009,Harmonix,2,3,2,2,-1,3,-1,-1,-1,2,3,FALSE,FALSE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Dio - Rainbow in the Dark,Rainbow in the Dark,Dio,Holy Diver,1983,Harmonix,6,6,4,2,1,2,6,3,0,2,2,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Dire Straits - Walk of Life,Walk of Life,Dire Straits,Brothers in Arms,1985,Harmonix,2,6,5,0,5,3,3,4,2,0,3,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Don McLean - American Pie,American Pie,Don McLean,American Pie,1971,Harmonix,5,4,4,3,5,4,-1,-1,6,3,4,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Dover - King George,King George,Dover,I Was Dead for 7 Weeks in the City of Angels,2001,Harmonix,2,4,3,4,-1,3,3,3,-1,4,3,TRUE,FALSE,TRUE,TRUE,"drums.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
DragonForce - Cry Thunder (2x Bass Pedal Expert+),Cry Thunder,DragonForce,The Power Within,2012,Harmonix,6,6,3,5,4,4,-1,-1,4,5,4,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0 0,matched
DragonForce - Operation Ground and Pound (2x Bass Pedal Expert+),Operation Ground and Pound,Dragonforce,Inhuman Rampage,2006,Harmonix,6,6,5,6,4,5,-1,-1,6,6,5,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0 0,matched
DragonForce - Through the Fire and Flames (2x Bass Pedal Expert+),Through the Fire and Flames,Dragonforce,Inhuman Rampage,2006,Harmonix,6,6,5,6,6,4,6,6,6,6,5,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Dream Theater - On the Backs of Angels (2x Bass Pedal Expert+),On the Backs of Angels,Dream Theater,A Dramatic Turn of Events,2011,Harmonix,6,6,6,6,6,2,6,6,6,6,2,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0 0,matched
Dwight Yoakam - Intentional Heartache,Intentional Heartache,Dwight Yoakam,Blame the Vain,2005,Harmonix,3,4,1,3,-1,2,-1,-1,-1,3,2,FALSE,FALSE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,Unknown,Unknown,matched_no_guitar_or_bass_track
Dwight Yoakam - Intentional Heartache (RB3 version),Intentional Heartache (RB3 version),Dwight Yoakam,Blame the Vain,2005,Harmonix,3,4,1,3,5,2,-1,-1,4,3,2,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,Unknown,Unknown,matched_no_guitar_or_bass_track
Echo & The Bunnymen - The Killing Moon,The Killing Moon,Echo & The Bunnymen,Ocean Rain,1984,Harmonix,3,4,3,5,2,3,3,0,2,5,-1,TRUE,TRUE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Eddie Money - Two Tickets to Paradise,Two Tickets to Paradise,Eddie Money,Eddie Money,1977,Harmonix,3,4,3,3,4,2,3,3,4,3,2,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Elton John - Don't Let the Sun Go Down on Me,Don't Let the Sun Go Down on Me,Elton John,Caribou,1974,Harmonix,3,2,2,1,3,4,-1,-1,3,1,-1,FALSE,TRUE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,Unknown,matched
Elton John - I'm Still Standing,I'm Still Standing,Elton John,Too Low for Zero,1983,Harmonix,4,3,3,2,5,5,-1,-1,5,2,5,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Elton John - Saturday Night's Alright for Fighting,Saturday Night's Alright for Fighting,Elton John,Goodbye Yellow Brick Road,1973,Harmonix,5,5,5,2,6,2,5,5,6,2,-1,TRUE,TRUE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Elton John - The Bitch is Back,The Bitch is Back,Elton John,Caribou,1974,Harmonix,4,4,3,3,3,4,-1,-1,4,3,-1,FALSE,TRUE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
EMF - Unbelievable,Unbelievable,EMF,Schubert Dip,2009,Harmonix,3,3,1,4,4,3,2,1,4,4,3,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,-1 -1 -1 -1,matched
Erasure - A Little Respect,A Little Respect,Erasure,The Innocents,1988,Harmonix,2,2,1,3,3,4,-1,-1,3,3,4,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Evanescence - Everybody's Fool,Everybody's Fool,Evanescence,Fallen,2003,Harmonix,2,3,2,2,2,4,2,2,2,2,4,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-2 0 0 0 0 0,-2 0 0 0,matched
Evanescence - Lithium,Lithium,Evanescence,The Open Door,2006,Harmonix,1,2,0,1,4,3,-1,-1,4,1,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-1 -1 -1 -1 -1 -1,-1 -1 -1 -1,matched
Evanescence - What You Want,What You Want,Evanescence,Evanescence,2011,Harmonix,4,2,3,4,4,5,-1,-1,4,4,5,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-5 -3 -3 -3 -3 -3,0 0 0 0 0,matched
Everclear - Santa Monica,Santa Monica,Everclear,Sparkle and Fade,1995,Harmonix,1,3,1,3,-1,3,2,1,-1,3,3,TRUE,FALSE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Extreme - More Than Words,More Than Words,Extreme,Extreme II. Pornograffitti (A Funked Up Fairy Tale),1990,Harmonix,5,5,-1,-1,-1,4,5,-1,-1,-1,4,TRUE,FALSE,FALSE,TRUE,"guitar.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-1 -1 -1 -1 -1 -1,Unknown,matched
Faith No More - From Out of Nowhere,From Out of Nowhere,Faith No More,The Real Thing,1989,Harmonix,3,3,4,4,2,2,-1,-1,2,4,2,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Faith No More - MidLife Crisis,MidLife Crisis,Faith No More,Angel Dust,1992,Harmonix,1,1,1,3,1,4,0,1,3,3,4,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
"Fall Out Boy - Dance, Dance","Dance, Dance",Fall Out Boy,From Under the Cork Tree,2005,Harmonix,3,4,3,4,0,4,-1,-1,0,4,4,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
"Fall Out Boy - Sugar, We're Goin Down","Sugar, We're Goin Down",Fall Out Boy,From Under the Cork Tree,2005,Harmonix,3,3,2,4,-1,4,1,1,-1,4,4,TRUE,FALSE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",-2 0 0 0 0 0,-2 0 0 0,-2 0 0 0 0 0,-2 0 0 0,matched
Fall Out Boy - Thnks fr th Mmrs,Thnks fr th Mmrs,Fall Out Boy,Infinity on High,2007,Harmonix,3,3,2,4,3,4,-1,-1,3,4,4,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-2 0 0 0 0 0,-2 0 0 0,matched
Filter - Hey Man Nice Shot,Hey Man Nice Shot,Filter,Short Bus,1995,Harmonix,4,3,6,1,-1,2,3,3,-1,1,-1,TRUE,FALSE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-2 0 0 0 0 0,-2 0 0 0,matched
Fleetwood Mac - Dreams,Dreams,Fleetwood Mac,Rumours,1977,Harmonix,1,2,2,2,1,4,1,0,2,2,4,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Fleetwood Mac - Gold Dust Woman,Gold Dust Woman,Fleetwood Mac,Rumours,1977,Harmonix,2,3,3,0,3,3,-1,-1,3,0,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-2 0 0 0 0 -2,0 0 0 0,matched
Fleetwood Mac - Landslide,Landslide,Fleetwood Mac,Fleetwood Mac,1975,Harmonix,5,4,-1,-1,-1,3,-1,-1,-1,-1,-1,FALSE,FALSE,FALSE,FALSE,"guitar.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,Unknown,matched
Fleetwood Mac - Rhiannon,Rhiannon,Fleetwood Mac,Fleetwood Mac,1975,Harmonix,4,4,3,4,3,3,-1,-1,4,4,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Florence + the Machine - Dog Days Are Over,Dog Days Are Over,Florence + the Machine,Lungs,2009,Harmonix,1,3,0,2,0,4,-1,-1,0,2,4,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Foo Fighters - Long Road to Ruin,Long Road to Ruin,Foo Fighters,"Echoes, Silence, Patience & Grace",2007,Harmonix,1,3,1,3,1,2,-1,-1,1,3,2,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Foo Fighters - Rope,Rope,Foo Fighters,Wasting Light,2011,Harmonix,3,4,3,4,0,3,2,3,0,4,3,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Foo Fighters - Something from Nothing,Something from Nothing,Foo Fighters,Sonic Highways,2014,Harmonix,4,4,3,5,-1,3,-1,-1,-1,5,3,FALSE,FALSE,TRUE,TRUE,"drums.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Foo Fighters - Stacked Actors,Stacked Actors,Foo Fighters,There Is Nothing Left to Lose,1999,Harmonix,4,4,2,4,-1,3,-1,-1,-1,4,-1,FALSE,FALSE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-7 0 0 0 0 0,0 0 0 0,matched
Foo Fighters - Walk,Walk,Foo Fighters,Wasting Light,2011,Harmonix,1,2,1,4,1,3,-1,-1,1,4,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Foreigner - Cold as Ice,Cold as Ice,Foreigner,Foreigner,1977,Harmonix,4,0,2,3,6,4,5,1,5,3,4,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Foreigner - Hot Blooded,Hot Blooded,Foreigner,Double Vision,1978,Harmonix,3,4,1,3,1,5,-1,-1,2,3,5,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Foreigner - I Want to Know What Love Is,I Want to Know What Love Is,Foreigner,Agent Provocateur,1984,Harmonix,2,-1,1,2,1,5,-1,-1,1,2,5,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,Unknown,0 0 0 0,matched
Foreigner - Urgent,Urgent,Foreigner,4,1981,Harmonix,1,1,2,0,2,4,-1,-1,2,0,4,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Foreigner - Waiting for a Girl Like You,Waiting for a Girl Like You,Foreigner,4,1981,Harmonix,2,2,2,1,3,4,-1,-1,3,1,4,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,Unknown,0 0 0 0,matched
Foster the People - Don't Stop (Color on the Walls),Don't Stop (Color on the Walls),Foster the People,Torches,2011,Harmonix,2,2,2,2,3,3,-1,-1,3,2,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Foster the People - Helena Beat,Helena Beat,Foster the People,Torches,2011,Harmonix,2,2,3,4,4,2,-1,-1,4,4,2,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Frankie Goes to Hollywood - Relax (Come Fighting) (2x Bass Pedal Expert+),Relax (Come Fighting),Frankie Goes to Hollywood,Welcome to the Pleasuredome,1984,Harmonix,2,2,0,4,3,3,-1,-1,4,4,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Frank Turner - I Still Believe,I Still Believe,Frank Turner,England Keep My Bones,2011,Harmonix,3,4,1,4,-1,2,-1,-1,-1,4,2,FALSE,FALSE,TRUE,TRUE,"drums.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Gary Allan - Man of Me,Man of Me,Gary Allan,Alright Guy,2001,Harmonix,2,3,1,2,-1,3,-1,-1,-1,2,3,FALSE,FALSE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Gary Allan - Man of Me (RB3 version),Man of Me (RB3 version),Gary Allan,Alright Guy,2001,Harmonix,2,3,1,2,4,3,-1,-1,5,2,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
George Strait - TWANG,TWANG,George Strait,TWANG,2009,Harmonix,2,4,2,2,-1,3,-1,-1,-1,2,3,FALSE,FALSE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
George Strait - TWANG (RB3 version),TWANG (RB3 version),George Strait,TWANG,2009,Harmonix,2,4,2,2,5,3,-1,-1,6,2,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Golden Earring - Radar Love,Radar Love,Golden Earring,Moontan,1973,Harmonix,6,6,5,6,0,1,5,3,0,6,1,TRUE,TRUE,TRUE,TRUE,"drums.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Good Charlotte - The Anthem,The Anthem,Good Charlotte,The Young and the Hopeless,2002,Harmonix,2,2,3,3,-1,3,-1,-1,-1,3,3,FALSE,FALSE,TRUE,TRUE,"drums.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-3 -1 -1 -1 -1 -1,-3 -1 -1 -1,matched
Grand Funk Railroad - The Loco-Motion,The Loco-Motion,Grand Funk Railroad,Shinin' On,1974,Harmonix,1,2,1,3,1,4,-1,-1,2,3,4,FALSE,TRUE,TRUE,TRUE,"drums.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Grand Funk Railroad - We're an American Band,We're an American Band,Grand Funk Railroad,We're an American Band,1973,Harmonix,4,4,2,4,4,3,3,6,4,4,3,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Green Day - Oh Love,Oh Love,Green Day,Uno!,2012,Harmonix,1,1,1,2,0,2,-1,-1,1,2,2,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Gym Class Heroes (ft. Adam Levine) - Stereo Hearts,Stereo Hearts,Gym Class Heroes (ft. Adam Levine),The Papercut Chronicles II,2011,Harmonix,2,3,1,2,4,3,-1,-1,4,2,3,FALSE,TRUE,TRUE,TRUE,"drums.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Hall & Oates - I Can't Go for That (No Can Do),I Can't Go for That (No Can Do),Hall & Oates,Private Eyes,1981,Harmonix,3,0,2,2,4,6,-1,-1,4,2,-1,FALSE,TRUE,TRUE,FALSE,"drums.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,Unknown,Unknown,matched_no_artist_filter_no_guitar_or_bass_track
Hall & Oates - Maneater,Maneater,Hall & Oates,H2O,1982,Harmonix,1,0,1,1,2,4,-1,-1,2,1,-1,FALSE,TRUE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,Unknown,matched
Hall & Oates - Private Eyes,Private Eyes,Hall & Oates,Private Eyes,1981,Harmonix,2,1,1,0,4,4,1,1,4,0,-1,TRUE,TRUE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Heart - Alone,Alone,Heart,Bad Animals,1987,Harmonix,2,2,1,1,3,4,-1,-1,3,1,4,FALSE,TRUE,TRUE,TRUE,"drums.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Heart - Barracuda,Barracuda,Heart,Little Queen,1977,Harmonix,4,3,3,4,-1,4,4,4,-1,4,-1,TRUE,FALSE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
HIM - Killing Loneliness,Killing Loneliness,HIM,Dark Light,2005,Harmonix,1,5,2,1,3,2,4,1,3,1,2,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Hoobastank - Crawling in the Dark,Crawling in the Dark,Hoobastank,Hoobastank,2001,Harmonix,4,5,3,3,-1,3,-1,-1,-1,3,3,FALSE,FALSE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 2 2 1 0 0,-2 0 0 0,matched
Hot Chelle Rae - Tonight Tonight,Tonight Tonight,Hot Chelle Rae,Whatever,2011,Harmonix,2,2,2,1,3,4,-1,-1,-1,1,4,FALSE,FALSE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
HourCast - Freakshow (RB3 version),Freakshow (RB3 Version),HourCast,Dystopia,2010,HourCast,4,3,3,3,-1,3,1,2,-1,3,-1,TRUE,FALSE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-2 0 0 0 0 0,-2 0 0 0,matched
Huey Lewis and the News - Do You Believe in Love,Do You Believe in Love,Huey Lewis and the News,Picture This,1982,Harmonix,3,3,1,2,3,4,-1,-1,4,2,4,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
